Textbox24,Textbox28
State: Karnataka     District : Kolar           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 2   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Kolar ,DPIU Of Kolar,Bangarpet,KN19128,2013 - 2014,ROAD,MRL10-Siddanahalli to Sulikunte road,Upgarde,"A. Gollahalli [ 7756], Hanchala [ 395523], Mageri [ 643380], Siddanahalli [ 988356]",Siddanahalli to Sulikunte road,"A. Gollahalli [ 7756]  { 409} , Hanchala [ 395523]  { 824} , Mageri [ 643380]  { 599} , Siddanahalli [ 988356]  { 1051} ",319.77,82.30,8.690,0.000,8.690,321.90,Maintenance,Regular PMGSY,MGANESH [01 Mar 2014],25.42,Financial: 06-12-2016/ Physical: 30-06-2015,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Kolar ,DPIU Of Kolar,Bangarpet,KN19129,2013 - 2014,ROAD,MRL5-Chokrabande to KGF Kuppam road,Upgarde,"Bairenahalli [ 73707], Chokkarabande [ 231222], Keelakambli [ 530107], Kurur [ 606513]",Chokrabande to KGF Kuppam road,"Bairenahalli [ 73707]  { 460} , Chokkarabande [ 231222]  { 370} , Keelakambli [ 530107]  { 139} , Kurur [ 606513]  { 496} ",224.67,57.83,5.760,0.000,5.760,227.54,Maintenance,Regular PMGSY,MGANESH [01 Mar 2014],16.85,Financial: 06-12-2016/ Physical: 30-05-2015,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Kolar ,DPIU Of Kolar,Kolar,KN19125,2013 - 2014,ROAD,MRL1-Koragandahalli to Vakkaleri,Upgarde,"Koragondahalli [ 579977], Setiganahalli [ 973699], Settikothanur [ 973786]",Koragandahalli to Vakkaleri,"Koragondahalli [ 579977]  { 679} , Setiganahalli [ 973699]  { 765} , Settikothanur [ 973786]  { 969} ",204.02,51.29,5.580,0.000,5.580,212.59,Maintenance,Regular PMGSY,ACR Projects [26 Aug 2014],16.32,Financial: 31-03-2018/ Physical: 15-06-2017,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Kolar ,DPIU Of Kolar,Kolar,KN19126,2013 - 2014,ROAD,MRL3-Chiyandahalli Holali gate to Huthur,Upgarde,Hoolali [ 425598],Chiyandahalli Holali gate to Huthur,Hoolali [ 425598]  { 984} ,249.23,62.52,7.080,0.000,7.080,283.76,Maintenance,Regular PMGSY,ACR Projects [26 Aug 2014],20.70,Financial: 31-03-2018/ Physical: 31-03-2016,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Kolar ,DPIU Of Kolar,Kolar,KN19127,2013 - 2014,ROAD,MRL4-Kooteri to Begli,Upgarde,"Begli Benjanahalli [ 119414], Kooteri [ 579213], Singondahalli [ 996106]",Kooteri to Begli,"Begli Benjanahalli [ 119414]  { 687} , Kooteri [ 579213]  { 1084} , Singondahalli [ 996106]  { 590} ",168.74,42.40,5.000,0.000,4.960,162.06,Maintenance,Regular PMGSY,ACR Projects [26 Aug 2014],14.63,Financial: 31-03-2018/ Physical: 30-04-2016,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Kolar ,DPIU Of Kolar,Malur,KN19130,2013 - 2014,ROAD,MRL2-Doddanaikanahalli to Kommanahalli,Upgarde,"Animitanahalli [ 39262], Bandarlahalli [ 87940], Doddanaikanahalli [ 305610], Harada Kothur [ 397937], Nutuve [ 792911]",Doddanaikanahalli to Kommanahalli,"Animitanahalli [ 39262]  { 254} , Bandarlahalli [ 87940]  { 8} , Chikkanutive [ 222513]  { 82} , Doddanaikanahalli [ 305610]  { 558} , Harada Kothur [ 397937]  { 84} , Nutuve [ 792911]  { 832} ",230.45,57.90,5.900,0.000,5.900,264.69,Maintenance,Regular PMGSY,M N CHANDRASHEKARAIAH [28 Feb 2014],17.25,Financial: 06-12-2016/ Physical: 30-06-2015,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Kolar ,DPIU Of Kolar,Malur,KN19131,2013 - 2014,ROAD,MRL4-Bedisettihalli to Dinnahalli,Upgarde,"Bedisettihalli [ 118045], Duduvanahalli [ 313548], Kothigutta [ 585847]",Bedisettihalli to Dinnahalli,"Bedisettihalli [ 118045]  { 598} , Duduvanahalli [ 313548]  { 546} , Kothigutta [ 585847]  { 86} ",275.58,69.15,7.160,0.000,7.160,283.25,Maintenance,Regular PMGSY,M N CHANDRASHEKARAIAH [28 Feb 2014],20.94,Financial: 06-12-2016/ Physical: 31-03-2015,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Kolar ,DPIU Of Kolar,Mulbagal,KN19132,2013 - 2014,ROAD,MRL3-Reddyhalli to Mothakapalli,Upgarde,"Bommasandra [ 174255], C Korovenur [ 188053], Reddyhalli [ 919532], Sunnagur [ 1018716]",Reddyhalli to Mothakapalli,"Bommasandra [ 174255]  { 831} , C Korovenur [ 188053]  { 284} , Reddyhalli [ 919532]  { 698} , Sunnagur [ 1018716]  { 805} ",210.42,54.16,5.970,0.000,5.970,180.18,Maintenance,Regular PMGSY,B.H.RAMAKRISHNAPPA GOWDA [28 Feb 2014],17.46,Financial: 06-12-2016/ Physical: 30-06-2015,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Kolar ,DPIU Of Kolar,Srinivasapura,KN19133,2013 - 2014,ROAD,MRL4-R. Gollapalli to Somayajalahalli,Upgarde,"Channigaripalli [ 205339], Matakanasandra [ 684917], R. Gollahalli [ 883454], Rajagundlahalli [ 890823]",R. Gollapalli to Somayajalahalli,"Channigaripalli [ 205339]  { 621} , Matakanasandra [ 684917]  { 601} , R. Gollahalli [ 883454]  { 238} , Rajagundlahalli [ 890823]  { 742} ",338.34,87.08,8.750,0.000,8.750,366.53,Maintenance,Regular PMGSY,ACR Projects [01 Mar 2014],25.60,Financial: 06-12-2016/ Physical: 13-12-2015,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Kolar ,DPIU Of Kolar,Srinivasapura,KN19134,2013 - 2014,ROAD,MRL2 - Payavaripalli to Laxmipura,Upgarde,"Kothapet [ 584909], Payavaripalli [ 842495], Sheshapura [ 981223]",Payavaripalli to Laxmipura,"Kothapet [ 584909]  { 902} , Payavaripalli [ 842495]  { 131} , Sheshapura [ 981223]  { 48} ",187.91,48.37,5.100,0.000,5.100,188.48,Maintenance,Regular PMGSY,ACR Projects [01 Mar 2014],14.92,Financial: 06-12-2016/ Physical: 30-06-2015,Total,"2,409.13",613.00,64.990,0.000,64.950,"2,490.98",190.09
