Textbox24,Textbox28
State: Karnataka     District : Ramnagar           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 1   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0201,2000 - 2001,ROAD,Bangalore Mysore rd - Maddur Border via Byrapatna,Upgarde,"A V halli [ 7724], Ankushana Halli [ 40143], Ballapatna [ 82554], Chakkere [ 194283], Krishnapura [ 590223]",Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,44.65,0.00,6.000,0.000,6.000,43.63,Completed,Regular PMGSY,Karnataka Land Army Corporation [04 Jul 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0202,2000 - 2001,ROAD,Kailancha-Aralalusandra,Upgarde,"Aralalu sandra [ 43540], Bhoohalli [ 154443], Dyavapatna [ 320306], Kenha Bovi Doddi [ 533305], Vittanenahalli [ 1099649]",Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,15.90,0.00,6.000,0.000,6.000,17.95,Completed,Regular PMGSY,S K Putta Swamy [27 Aug 2001],0.00,Financial: 29-04-2006/ Physical: 30-11-2002,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0206,2001 - 2002,ROAD,Akkur to Ambadahalli,Upgarde,"Ambadalli [ 29740], Bangalli [ 90305], Madapura [ 637279]",Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,47.62,0.00,5.500,0.000,5.500,32.48,Maintenance,Regular PMGSY,K R Vyasaraj [18 Oct 2002],0.00,Financial: 08-07-2005/ Physical: 30-06-2004,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0206,2001 - 2002,ROAD,C.H.Road to Virupakshipura,Upgarde,Virupakshipura [ 1098576],Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,13.08,0.00,1.500,0.000,1.500,21.64,Completed,Regular PMGSY,K R Vyasaraj [18 Oct 2002],0.00,Financial: 08-07-2005/ Physical: 30-06-2004,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0206,2001 - 2002,ROAD,Hunasanahalli to Kondapura,Upgarde,Kondapura [ 577223],Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,11.54,0.00,1.500,0.000,1.500,20.39,Maintenance,Regular PMGSY,K R Vyasaraj [18 Oct 2002],0.00,Financial: 08-07-2005/ Physical: 30-06-2004,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0210,2001 - 2002,ROAD,C.S. Road to Hosakannidodii,Upgarde,Hosakanni Doddi [ 426223],Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,16.54,0.00,1.850,0.000,1.850,15.13,Maintenance,Regular PMGSY,Karnataka Land Army Corporation [07 Jul 2002],0.00,Financial: 01-04-2005/ Physical: 31-12-2004,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0210,2001 - 2002,ROAD,C.S. Road to Byrashettihalli,Upgarde,Byrasettihalli [ 187899],Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,14.08,0.00,1.400,0.000,1.400,12.01,Completed,Regular PMGSY,Karnataka Land Army Corporation [07 Jul 2002],0.00,Financial: 01-04-2005/ Physical: 31-12-2004,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0212,2003 - 2004,ROAD,Yaliyoor to C.H Road,Upgarde,"Guvapura [ 389193], Kallapura [ 491265], Siddapura [ 988486], Yeliyur [ 1110313]",Kondapura Hunasanahalli Road,"Hunasanahalli [ 428499]  { 851} , Kondapura [ 577223]  { 980} ",44.45,0.00,4.400,0.000,4.400,38.26,Completed,Regular PMGSY,H Narasimha Murthy [15 May 2003],3.35,Financial: 11-12-2007/ Physical: 31-05-2007,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0213,2003 - 2004,ROAD,C H Road to Karekoppa village,Upgarde,Karekoppa [ 512869],C H Road to Bachalli Doddi Anchipura Road,"Bachalli [ 59170]  { 681} , Gollar Doddi [ 369169]  { 54} ",33.00,0.00,2.500,0.000,2.500,26.39,Completed,Regular PMGSY,H Narasimha Murthy [05 Nov 2004],1.73,Financial: 23-08-2007/ Physical: 31-05-2007,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Ramnagar ,DPIU Of Ramanagaram,Channapatna,KN0228,2006 - 2007,ROAD,Honganur - Masigowdanadoddi,Upgarde,"Channankedowdana Doddi [ 205191], Govindegowdana Doddi [ 378519], Hodike Hosalli [ 424471], Masi Gowdana Doddi [ 683583], NelamakanahallY [ 777237], Valetopu [ 1086100]",Dasegowdanadoddi to gudigadde road,Kumbapur Colony [ 596996]  { 592} ,96.80,0.00,5.040,0.000,5.040,116.36,Completed,Regular PMGSY,M/S Ashwamedha Associates [16 Jan 2009],7.55,Financial: 04-10-2010/ Physical: 31-12-2009,Total,"4,611.42",0.00,282.090,0.000,282.090,"5,326.12",311.93
