slno,id,ward,wodetails,contractor,brnumber,amount,nett,deduction
1502,720276,72,"072-22-000011</a>Operation and maintenance of street lighting system in ward no-72, Package R15 of Rajarajeshwari Nagar Zone for the Year 2021-22",023740 VENKATESHWARAELECTRI[phone removed],BR - 000002 / 24-Apr-2025CBR - / Rtgs - 001554 / 27-May-2025,1436038,1346621,89417
1503,720816,40,"040-22-000015</a>Operation and maintenance of street lighting system in ward no-40, (P-Doddabidarakallu) Package R14 of Rajarajeshwari Nagar Zone for the Year 2021-22",026383 VEDHA ELECTRICALS[phone removed],BR - 000003 / 25-Apr-2025CBR - / Rtgs - 001555 / 27-May-2025,995277,932600,62677
1504,720870,160,"160-22-000005</a>Operation and maintenance of street lighting system in ward no-160, (P-Kenchenahalli) Package R11 of Rajarajeshwari Nagar Zone for the Year 2021-22",022327 SRI BALAJI ELECTRICA[phone removed],BR - 000004 / 25-Apr-2025CBR - / Rtgs - 001556 / 27-May-2025,1143020,1073883,69137
1505,720971,160,"160-22-000006</a>Operation and maintenance of street lighting system in ward no-160, (P-BEML Layout) Package R12 of Rajarajeshwari Nagar Zone for the Year 2021-22",022319 NIHARIKA ELECTRICALS[phone removed],BR - 000005 / 28-Apr-2025CBR - / Rtgs - 001557 / 27-May-2025,1026811,963108,63703
1506,720977,198,"198-22-000008</a>Operation and maintenance of street lighting system in ward no-198, (P-Pattanagere) Package R19 of Rajarajeshwari Nagar Zone for the Year 2021-22",026388 GEETHA ELECTRICAL ST[phone removed],BR - 000006 / 28-Apr-2025CBR - / Rtgs - 001558 / 27-May-2025,1123044,1004735,118309
1507,721080,73,"073-22-000002</a>Operation and maintenance of street lighting system in ward no-73, (P-Chowdeshwari Nagar) Package R8 of Rajarajeshwari Nagar Zone for the Year 2021-22",024139 KAVERI ELECTRICALS[phone removed],BR - 000008 / 28-Apr-2025CBR - / Rtgs - 001559 / 27-May-2025,1027884,965618,62266
1508,721084,73,"073-22-000003</a>Operation and maintenance of street lighting system in ward no-73, (P-Nagarabhavi BDA) Package R7 of Rajarajeshwari Nagar Zone for the Year 2021-22",025871 SREE MAMTHA ELECTRIC[phone removed],BR - 000009 / 28-Apr-2025CBR - / Rtgs - 001560 / 27-May-2025,754518,709295,45223
1509,721089,159,"159-22-000006</a>Operation and maintenance of street lighting system in ward no-159, Package R18 of Rajarajeshwari Nagar Zone for the Year 2021-22",022942 SRI SAI ENTERPRISES [phone removed],BR - 000010 / 28-Apr-2025CBR - / Rtgs - 001561 / 27-May-2025,856300,803978,52322
1510,721134,130,"130-22-000006</a>Operation and maintenance of street lighting system in ward no-130, (P-Nagadevanahalli) Package R16 of Rajarajeshwari Nagar Zone for the Year 2021-22",023817 SAI ELECTRICOM[phone removed],BR - 000011 / 28-Apr-2025CBR - / Rtgs - 001562 / 27-May-2025,810103,757159,52944
1511,721136,130,"130-22-000007</a>Operation and maintenance of street lighting system in ward no-130, (P-Maruthi nagar) Package R17 of Rajarajeshwari Nagar Zone for the Year 2021-22",023817 SAI ELECTRICOM[phone removed],BR - 000012 / 28-Apr-2025CBR - / Rtgs - 001563 / 27-May-2025,768501,719467,49034
1512,721222,69,"069-22-000002</a>Operation and maintenance of street lighting system in ward no-69, Package R6 of Rajarajeshwari Nagar Zone for the Year 2021-22",024065 PRADEEP KUMAR S N PR[phone removed],BR - 000013 / 29-Apr-2025CBR - / Rtgs - 001564 / 27-May-2025,801900,753930,47970
1513,721246,38,"038-22-000002</a>Operation and maintenance of street lighting system in ward no-38, Package R4 of Rajarajeshwari Nagar Zone for the Year 2021-22",006881 PRASHANTHELECTRICALS[phone removed],BR - 000015 / 29-Apr-2025CBR - / Rtgs - 001565 / 27-May-2025,780590,732855,47735
1514,721251,42,"042-22-000002</a>Operation and maintenance of street lighting system in ward no-42, Package R5 of Rajarajeshwari Nagar Zone for the Year 2021-22",023937 SRI MANJUNATHA ELECT[phone removed],BR - 000016 / 29-Apr-2025CBR - / Rtgs - 001566 / 27-May-2025,772839,725055,47784
1515,511578,37,037-20-000035</a>Consultancy services for project management including supervision and quality control for Construction of Individual Houses In Ward No 16 and 37 RR Nagar Constituency,CIVIL ONE ENGINEERS [phone removed],BR - 000018 / 11-Apr-2022CBR - / Rtgs - 001576 / 27-May-2025,468000,421200,46800
1516,511571,17,017-20-000021</a>Consultancy services for project management including supervision and quality control for Construction of Individual Houses In Ward No 17 RR Nagar Constituency,CIVIL ONE ENGINEERS [phone removed],BR - 000016 / 11-Apr-2022CBR - / Rtgs - 001577 / 27-May-2025,475000,427500,47500
1517,524616,159,159-19-000032</a>Construction of Ground and Upper Floor to BBMP Complex at Kengeri ward no 159 Kengeri,SHRUSTI SAMUPADHA CO[phone removed],BR - 000032 / 10-Jun-2022CBR - / Rtgs - 001578 / 27-May-2025,3309109,3102435,206674
1518,526648,198,198-20-000121</a>Providing Street name Boards in ward no 198,GNANENDRA MURTHY M D[phone removed],BR - 000060 / 24-Jun-2022CBR - / Rtgs - 001579 / 27-May-2025,1857419,1526475,330944
1519,412831,185,185-19-000015</a>Improvements to roads and drains at Kanakanagara in ward no 185 Yelechenahalli,SIDDEGOWDA D[phone removed],BR - 000058 / 21-May-2021CBR - / Rtgs - 001595 / 27-May-2025,4545000,3876894,668106
1520,514582,188,188-20-000007</a>Providing ornamental fencing to park infront of Ayyappa temple in ward no 188 Bilekahalli,VISHNU M GOWDA[phone removed],BR - 000019 / 30-Apr-2022CBR - / Rtgs - 001596 / 27-May-2025,19711083,18818403,892680
