slno,id,ward,wodetails,contractor,brnumber,amount,nett,deduction
1,459482,198,198-21-000007</a>Comprehensive Development of Vakil Garden City in ward no 198,SUHAS MEGHANATH NAID[phone removed],BR - 000109 / 15-Sep-2021CBR - / Rtgs - 001464 / 01-Apr-2025,4995487,4791650,203837
2,450586,72,072-18-000051</a>Repairs and Maintenance of Culverts at Ward Limits in Ward No 72 of Herohalli Sub Division,N DARSHAN [phone removed],BR - 000097 / 21-Aug-2021CBR - / Rtgs - 001465 / 01-Apr-2025,768186,653326,114860
3,480206,130,130-20-000170</a>Annual Maintenance of Drains and footbath in ward no 130,PRASANNA[phone removed],BR - 000168 / 01-Dec-2021CBR - / Rtgs - 001466 / 01-Apr-2025,770162,740236,29926
4,502727,130,130-20-000170</a>Annual Maintenance of Drains and footbath in ward no 130,PRASANNA[phone removed],BR - 000245 / 23-Feb-2022CBR - / Rtgs - 001467 / 01-Apr-2025,772212,742206,30006
5,488389,181,181-20-000007</a>Improvements to drain in 71st Cross beside police station Kumaraswamy layout 1st Stage in Ward No-181,Mr MANJUNATH M[phone removed],BR - 000134 / 31-Dec-2021CBR - / Rtgs - 002501 / 01-Apr-2025,2585345,2367495,217850
6,494433,170,170-19-000021</a>Improvements of roads and road side drains Arasu Colony and surrounding area in ward no 170,RAVI KUMAR B T[phone removed],BR - 000071 / 27-Jan-2022CBR - / Rtgs - 002502 / 01-Apr-2025,3816259,3225021,591238
7,497597,165,165-21-000020</a>Improvements to road and drains from Venkatadri Conventional Hall to ORR in CT bed area in Ward No-165 Ganesha Mandira.,SURESH B N [phone removed],BR - 000141 / 04-Feb-2022CBR - / Rtgs - 002503 / 01-Apr-2025,8892527,8165879,726648
8,497582,165,165-21-000021</a>Improvements to road and drains from Channammanakere Achukattu to Venkatadri Kalyana Mantapa in CT bed area in Ward No-165 Ganesha Mandira.,SURESH B N [phone removed],BR - 000140 / 04-Feb-2022CBR - / Rtgs - 002504 / 01-Apr-2025,9584323,8846182,738141
9,496659,124,124-20-000007</a>Providing RCC wall and Grill work to Railway parallel road at Handigudisalu slum in Ward 124.,R KUMARASWAMY[phone removed],BR - 000086 / 03-Feb-2022CBR - / Rtgs - 002505 / 01-Apr-2025,4939348,4174992,764356
10,500063,122,122-20-000016</a> Drilling of Borewells and maintenance of Existing Borewells works in ward no 122 K P Agrahara,PRADEEP BIRADAR[phone removed],BR - 000092 / 10-Feb-2022CBR - / Rtgs - 002506 / 01-Apr-2025,4645922,3954201,691721
11,518587,14,014-21-000011</a>Improvements to Roads Drains and Other Maintenance in Manjunath Nagara and Surrounding area in Ward No 14 Bagalagunte,VENKATA REDDY N [phone removed],BR - 000047 / 27-May-2022CBR - / Rtgs - 000429 / 02-Apr-2025,10382213,8935321,1446892
12,574805,197,"197-20-000023</a>Project Management Consultancy for Comprehensive Development of roads and drains in Dr. Ambarish Layout in ward no 197, Development of Play Ground in RBI Layout of Ward no 195, Construction of Model road at Vishwapriya layout in ward no 192 Begur. Improvement and Development of Parks in ward no 197, Improvement and Development of Parks in ward no 195, Construction of Compound with Grill for BBMP Property and other development works at Sriramanagar in ward no 184 Uttarahalli, Construction of Park, fencing and other developmental works at RB Gowthan layout in ward no 195 Konanakunte (7 Works)", VEENASHIVAPPARAI CI[phone removed],BR - 000166 / 23-Mar-2023CBR - / Rtgs - 001458 / 02-Apr-2025,700000,630000,70000
13,435618,139,139-17-000092</a>Construction of BBMP Multipurpose Building in P V R Road inward No. 139,SRINIVAS.M.R [phone removed],BR - 000036 / 02-Jul-2021CBR - / Rtgs - 002316 / 02-Apr-2025,4126560,4126560,0
14,480009,43,043-20-000203</a>Improvements of drains and culverts of Circular park 3rd 4th 5th cross road at Nandini layout in ward no 43,ACHUTHA MURTHY K[phone removed],BR - 000176 / 10-Dec-2021CBR - / Rtgs - 002317 / 02-Apr-2025,9861819,8497912,1363907
15,472412,66,066-17-000063</a>Construction of Multipurpose Building at Dr. Rajkumar Road in ward no 66 Subramanyanagara,DAYANIDHI C M[phone removed],BR - 000085 / 02-Nov-2021CBR - / Rtgs - 002318 / 02-Apr-2025,5173390,4453820,719570
16,489638,75,075-21-000009</a>Construction of RCC Drain at Vidyanagara and Muniswamappa Badavane Surrounding area in ward no 75 Shankarmutt,VIJAYAKUMAR R[phone removed],BR - 000190 / 04-Jan-2022CBR - / Rtgs - 002319 / 02-Apr-2025,7365157,6032656,1332501
17,486162,43,043-20-000204</a>Improvements of drains and culverts of Circular park road at Nandini layout in ward no 43,ACHUTHA MURTHY K[phone removed],BR - 000192 / 04-Jan-2022CBR - / Rtgs - 002320 / 02-Apr-2025,9626003,8277942,1348061
18,491878,43,043-20-000010</a>Improvements of Drain and culverts at 4th Block Nandini layout in Ward No 43,ACHUTHA MURTHY K[phone removed],BR - 000198 / 12-Jan-2022CBR - / Rtgs - 002321 / 02-Apr-2025,9861444,8486123,1375321
19,492245,44,044-20-000123</a>Improvements of Dhyanamandira at Vivekananda collage in Srikanteshwaranagara in ward no 44 Marappanapalya,PUTTASWAMY B R [phone removed],BR - 000204 / 17-Jan-2022CBR - / Rtgs - 002322 / 02-Apr-2025,2273110,1879323,393787
20,448617,65,065-20-000038</a>Development works to Government Kannada Higher Primary school Rama Mohanapura Maruthi extension North Zone-2 in ward no 65 Kadu Malleshwara,LOKESH T [phone removed],BR - 000060 / 19-Aug-2021CBR - / Rtgs - 002323 / 02-Apr-2025,1184855,1061055,123800
21,477331,76,076-19-000018</a>Filling of Potholes Wornout Roads and Road cut portion at Gayathrinagara in Ward No 76,NIKSHEP INFRA PROJEC[phone removed],BR - 000103 / 24-Nov-2021CBR - / Rtgs - 002324 / 02-Apr-2025,2000000,1708950,291050
22,477327,65,065-20-000054</a> Filling of Potholes Kadu Malleshwaram in ward No 65,NIKSHEP INFRA PROJEC[phone removed],BR - 000101 / 19-Nov-2021CBR - / Rtgs - 002325 / 02-Apr-2025,1233745,1041355,192390
23,477317,76,076-20-000040</a> Depot Collection (Jelly and Dust) for the year 2019-20 in ward no 76 Gayathrinagara,NIKSHEP INFRA PROJEC[phone removed],BR - 000100 / 19-Nov-2021CBR - / Rtgs - 002326 / 02-Apr-2025,144140,123645,20495
24,477319,76,076-20-000041</a> Supplying of Emusion for potholes Filling for the year 2019-20 in ward no 76 Gayathrinagara,NIKSHEP INFRA PROJEC[phone removed],BR - 000097 / 19-Nov-2021CBR - / Rtgs - 002327 / 02-Apr-2025,214575,184470,30105
25,477336,66,066-20-000040</a> Filing of Potholes in ward no 66 Subramanya Nagar,Mr SIDDAPPA V[phone removed],BR - 000098 / 19-Nov-2021CBR - / Rtgs - 002328 / 02-Apr-2025,935000,809955,125045
26,487066,64,064-20-000028</a>Addl works for dialysis center Doctors quarters and other allied works in ward no 64,N S RAJU[phone removed],BR - 000108 / 22-Dec-2021CBR - / Rtgs - 002329 / 02-Apr-2025,5768000,5176449,591551
27,495624,75,075-21-000007</a>Construction of RCC drain and CC Road at 15th Main Road J C Nagara and surrounding area in ward no 75 Shankarmutt,MURULIDHARA C R[phone removed],BR - 000212 / 28-Jan-2022CBR - / Rtgs - 002330 / 02-Apr-2025,5068240,4154273,913967
28,495868,44,044-19-000044</a>Improvements to roads and drains at Saveles roads balance portion of Ullas theatre road and DWCC work in ward no.44 Marappanapalya,PUTTASWAMY B R [phone removed],BR - 000215 / 31-Jan-2022CBR - / Rtgs - 002331 / 02-Apr-2025,8998970,7378535,1620435
29,479879,45,045-19-000065</a>Construction and Development Footpath work K.N. Extension (Nanjappa Reddy Extensiion) ward no 45,NIKSHEP INFRA PROJEC[phone removed],BR - 000121 / 07-Jan-2022CBR - / Rtgs - 002332 / 02-Apr-2025,9313477,7953535,1359942
30,479876,45,045-19-000066</a>Construction and Development Footpath work Subedarpalya at Triveni road ward no 45,NIKSHEP INFRA PROJEC[phone removed],BR - 000120 / 07-Jan-2022CBR - / Rtgs - 002333 / 02-Apr-2025,9229304,7883788,1345516
31,503259,44,044-21-000019</a>Construction of rain water harvesting and other works in police quarters in ward no 44 Marappanapalya,PUTTASWAMY B R [phone removed],BR - 000244 / 02-Mar-2022CBR - / Rtgs - 002334 / 02-Apr-2025,10031156,8155487,1875669
32,503433,64,064-20-000028</a>Addl works for dialysis center Doctors quarters and other allied works in ward no 64,N S RAJU[phone removed],BR - 000135 / 25-Feb-2022CBR - / Rtgs - 002335 / 02-Apr-2025,3575000,3229339,345661
33,701577,95,095-22-000001</a>Operation And maintenance Of Street Lights at Subhash nagara and Okalipuram In Ward No- 95 and 96 Package W6 ,SHREE VINAYAKA ELECT[phone removed],BR - 000086 / 18-Jan-2025CBR - / Rtgs - 002337 / 02-Apr-2025,220172,203712,16460
34,701583,95,095-22-000001</a>Operation And maintenance Of Street Lights at Subhash nagara and Okalipuram In Ward No- 95 and 96 Package W6 ,SHREE VINAYAKA ELECT[phone removed],BR - 000087 / 18-Jan-2025CBR - / Rtgs - 002338 / 02-Apr-2025,168798,155227,13571
35,702184,35,035-22-000003</a>Operation And maintenance Of Street Lights at Aramanenagara and Rajamahalguttahalli in Ward No- 35 and 64. Package W1,CHAITANYA ELECTRICAL[phone removed],BR - 000091 / 18-Jan-2025CBR - / Rtgs - 002339 / 02-Apr-2025,604370,561204,43166
36,701525,101,101-22-000002</a>Operation And maintenance Of Street Lights at Kamakshipalya In Ward No- 101 Package W19,001294 POOJAELECTRICALSPROP[phone removed],BR - 000089 / 18-Jan-2025CBR - / Rtgs - 002340 / 02-Apr-2025,130604,119929,10675
37,701527,101,101-22-000002</a>Operation And maintenance Of Street Lights at Kamakshipalya In Ward No- 101 Package W19,001294 POOJAELECTRICALSPROP[phone removed],BR - 000090 / 18-Jan-2025CBR - / Rtgs - 002341 / 02-Apr-2025,130604,120229,10375
38,701566,99,099-22-000003</a>Operation And maintenance Of Street Lights at Rajajinagara and Basaveshwaranagara In Ward No- 99 and 100 Package W18 ,027557 LAKSHMINARAYANA ELEC[phone removed],BR - 000092 / 18-Jan-2025CBR - / Rtgs - 002342 / 02-Apr-2025,293147,270528,22619
39,701568,99,099-22-000003</a>Operation And maintenance Of Street Lights at Rajajinagara and Basaveshwaranagara In Ward No- 99 and 100 Package W18 ,027557 LAKSHMINARAYANA ELEC[phone removed],BR - 000093 / 18-Jan-2025CBR - / Rtgs - 002343 / 02-Apr-2025,254059,234396,19663
40,705870,74,074-22-000004</a>Operation And maintenance Of Street Lights at Shakthiganapathinagara and Vrushabhavathi nagara In Ward No- 74 and 102 Package W15 ,026742 ELECTROLINES[phone removed],BR - 000096 / 31-Jan-2025CBR - / Rtgs - 002344 / 02-Apr-2025,1369712,1270341,99371
41,705874,43,043-22-000008</a>Operation And maintenance Of Street Lights at Nandini layout and Mahalakshmipuram In Ward No- 43 and 68 Package W12 ,023510 MANOJ ENTERPRISES[phone removed],BR - 000098 / 31-Jan-2025CBR - / Rtgs - 002345 / 02-Apr-2025,808273,751252,57021
42,705833,44,044-22-000013</a>Operation And maintenance Of Street Lights at Marappanapalya In Ward No- 44 Package W13 ,023937 SRI MANJUNATHA ELECT[phone removed],BR - 000108 / 07-Feb-2025CBR - / Rtgs - 002347 / 02-Apr-2025,180050,166315,13735
43,705834,44,044-22-000013</a>Operation And maintenance Of Street Lights at Marappanapalya In Ward No- 44 Package W13 ,023937 SRI MANJUNATHA ELECT[phone removed],BR - 000109 / 07-Feb-2025CBR - / Rtgs - 002348 / 02-Apr-2025,180050,166015,14035
44,705022,77,077-22-000011</a>Operation And maintenance Of Street Lights at Datthatreya temple in Ward No- 77 Package W4 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000102 / 07-Feb-2025CBR - / Rtgs - 002349 / 02-Apr-2025,176723,163215,13508
45,705025,138,138-22-000002</a>Operation And maintenance Of Street Lights at Cheluvadhipalya and K.R Market In Ward No- 138 and 139 Package W9 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000100 / 07-Feb-2025CBR - / Rtgs - 002350 / 02-Apr-2025,178655,162615,16040
46,705029,120,120-22-000001</a>Operation And maintenance Of Street Lights at Cottonpet and Binnypet In Ward No- 120 and 121 Package W7 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000104 / 07-Feb-2025CBR - / Rtgs - 002351 / 02-Apr-2025,231243,211630,19613
47,705031,94,094-22-000001</a>Operation And maintenance Of Street Lights at Gandhinagara and Chikpet In Ward No- 94 and 109 Package W5 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000101 / 07-Feb-2025CBR - / Rtgs - 002352 / 02-Apr-2025,321986,296506,25480
48,701995,135,135-22-000003</a>Operation And maintenance Of Street Lights at Padarayanapura and Ajadnagara In Ward No- 135 and 141 Package W11,022533 SRIHARIELECTRICALSPR[phone removed],BR - 000103 / 07-Feb-2025CBR - / Rtgs - 002353 / 02-Apr-2025,835691,778344,57347
49,703713,140,140-22-000002</a>Operation And maintenance Of Street Lights at Chamarajapet In Ward No- 140 Package W8 ,022533 SRIHARIELECTRICALSPR[phone removed],BR - 000099 / 07-Feb-2025CBR - / Rtgs - 002354 / 02-Apr-2025,657977,611294,46683
50,701718,135,135-22-000003</a>Operation And maintenance Of Street Lights at Padarayanapura and Ajadnagara In Ward No- 135 and 141 Package W11,022533 SRIHARIELECTRICALSPR[phone removed],BR - 000114 / 13-Feb-2025CBR - / Rtgs - 002355 / 02-Apr-2025,550351,508455,41896
51,703657,97,097-23-000001</a>Operation and maintenance of Street lights at Dayanandanagara and Prakashnagara in ward no 97 and 98 Package No W17,022701 HIMAGIRISREEELECTRIC[phone removed],BR - 000115 / 13-Feb-2025CBR - / Rtgs - 002356 / 02-Apr-2025,873112,810484,62628
52,703690,140,140-22-000002</a>Operation And maintenance Of Street Lights at Chamarajapet In Ward No- 140 Package W8 ,022533 SRIHARIELECTRICALSPR[phone removed],BR - 000119 / 13-Feb-2025CBR - / Rtgs - 002357 / 02-Apr-2025,419501,387396,32105
53,705020,77,077-22-000011</a>Operation And maintenance Of Street Lights at Datthatreya temple in Ward No- 77 Package W4 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000120 / 14-Feb-2025CBR - / Rtgs - 002358 / 02-Apr-2025,107510,98405,9105
54,705024,138,138-22-000002</a>Operation And maintenance Of Street Lights at Cheluvadhipalya and K.R Market In Ward No- 138 and 139 Package W9 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000121 / 14-Feb-2025CBR - / Rtgs - 002359 / 02-Apr-2025,108681,97695,10986
55,705028,120,120-22-000001</a>Operation And maintenance Of Street Lights at Cottonpet and Binnypet In Ward No- 120 and 121 Package W7 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000117 / 13-Feb-2025CBR - / Rtgs - 002360 / 02-Apr-2025,140673,127815,12858
56,705030,94,094-22-000001</a>Operation And maintenance Of Street Lights at Gandhinagara and Chikpet In Ward No- 94 and 109 Package W5 ,023865 SRI GAYATHRI ELECTR[phone removed],BR - 000118 / 13-Feb-2025CBR - / Rtgs - 002361 / 02-Apr-2025,195874,179265,16609
57,705109,36,036-22-000002</a>Operation And maintenance Of Street Lights at Mathikere and Kadumalleshwaram in Ward No- 36 and 65. Package W2,027043 M P ELECTRICALS[phone removed],BR - 000110 / 13-Feb-2025CBR - / Rtgs - 002362 / 02-Apr-2025,698989,648040,50949
58,705112,36,036-22-000002</a>Operation And maintenance Of Street Lights at Mathikere and Kadumalleshwaram in Ward No- 36 and 65. Package W2,027043 M P ELECTRICALS[phone removed],BR - 000111 / 13-Feb-2025CBR - / Rtgs - 002363 / 02-Apr-2025,900429,831745,68684
59,705876,45,"045-22-000002</a>Operation And maintenance Of Street Lights at Malleshwaram and Subramanyanagara, in Ward No- 45 and 66. Package W3 ",ANVITHINFRA[phone removed],BR - 000116 / 13-Feb-2025CBR - / Rtgs - 002364 / 02-Apr-2025,240519,222077,18442
60,623221,182,"182-23-000002</a>Comprehensive development of roads, drains, drilling of borewells, improvements to BBMP buildings and improvements to ground in Ward No. 161, 181, 182, 183, 165, 166 and 180 under Chief Minister Amrutha Nagarothana Yojane. (Comprising of 9 Works in G.O. Sl. No. 65, 66, 67, 68, 69, 91, 92, 93 and 94) PACKAGE No. CMANY-PN-05.",003559 ANANDA KUMAR[phone removed],BR - 000072 / 08-Dec-2023CBR - / Rtgs - 002507 / 02-Apr-2025,57021095,50905720,6115375
61,476091,166,166-20-000077</a>Renovation of existing Samudhaya Bhavana Building in ward no 166 Karisandra,PRAMOD [phone removed],BR - 000054 / 23-Nov-2021CBR - / Rtgs - 002509 / 02-Apr-2025,2348000,2149464,198536
62,473957,177,177-20-000090</a>Regarding of drain and improvements to missing bits of drian and footpath in ward no 177,DHANANJAYA V[phone removed],BR - 000065 / 09-Nov-2021CBR - / Rtgs - 002510 / 02-Apr-2025,1629774,1526091,103683
63,473944,177,177-20-000084</a>Emegency Grants in Ward No-177,DHANANJAYA V[phone removed],BR - 000064 / 09-Nov-2021CBR - / Rtgs - 002511 / 02-Apr-2025,861847,802827,59020
64,463175,179,179-20-000059</a>Footpath maintenance in 5th block and 8th block Jayanagara and ITI layout surrounding areas in ward No. 179.,DHANANJAYA V[phone removed],BR - 000055 / 12-Oct-2021CBR - / Rtgs - 002512 / 02-Apr-2025,1306546,1235112,71434
65,485718,122,122-20-000015</a>Improvements of roads and De-silting of Drains of ward Jurisdiction in ward no 122 K P Agrahara,SRI SAI ENTERPRISES[phone removed],BR - 000071 / 17-Dec-2021CBR - / Rtgs - 002513 / 02-Apr-2025,4998263,4141238,857025
66,584747,119,"119-23-000003</a>Comprehensive Development and improvements to Roads, Drains, Footpaths, Parks and buildings in Bamboo Bazaar, Kumbaragundi, Kalasipalyam and surrounding area in Ward No. 119, Chickpet Assembly Constituency - Package 4",023653 GOPI REDDY[phone removed],BR - 000038 / 03-Aug-2023CBR - / Rtgs - 002514 / 02-Apr-2025,18358392,17507933,850459
67,487448,122,122-20-000011</a>Providing pipeline and Impts to borewell near Railway compound in Ward 122.,SRI SAI ENTERPRISES[phone removed],BR - 000072 / 24-Dec-2021CBR - / Rtgs - 002515 / 02-Apr-2025,2602985,2196747,406238
68,491569,145,145-20-000047</a>Pot Hole Filling in ward no 145 (Asphalt and concrete,AFZALPASHA [phone removed],BR - 000163 / 13-Jan-2022CBR - / Rtgs - 002516 / 02-Apr-2025,1329770,1238323,91447
69,498533,144,144-20-000084</a>Maintenance of roads in Siddapura ward area in Ward No. 144,KAVITHACONSTRUCTIONS[phone removed],BR - 000176 / 03-Mar-2022CBR - / Rtgs - 002517 / 02-Apr-2025,2469438,2349047,120391
70,503808,148,148-20-000003</a>Improvements to Footpath RCC drains and culverts in roads of Shanthi nagar cooperative layout and Other areas in ward no.148 Ejipura,M RAMESH[phone removed],BR - 000241 / 03-Mar-2022CBR - / Rtgs - 002518 / 02-Apr-2025,4629970,4300176,329794
71,503796,148,148-20-000002</a>Providing Asphalting to cross roads at Shanthi nagar cooperative layout in ST Bed ward no.148 Ejipura,M RAMESH[phone removed],BR - 000240 / 03-Mar-2022CBR - / Rtgs - 002519 / 02-Apr-2025,7916816,7435622,481194
72,503868,134,134-20-000034</a>Providing and laying Kerb stones for ward jurisdication in ward no 134 for the year 2019-20,SRI SAI ENTERPRISES[phone removed],BR - 000096 / 04-Mar-2022CBR - / Rtgs - 002520 / 02-Apr-2025,4695600,3927581,768019
73,639203,8,008-23-000003</a>PACKAGE NO. 03 (CONSISTS OF 5 WORKS),023475 KARTHIK ENTERPRISES[phone removed],BR - 000183 / 13-Feb-2024CBR - / Rtgs - 001431 / 03-Apr-2025,48751700,43331900,5419800
74,498493,3,003-21-000037</a>Improvements to Roads and Drains at Ambabhavani Layout (Part-2) in ward no 03,Mr UMESH N[phone removed],BR - 000195 / 09-Feb-2022CBR - / Rtgs - 001432 / 03-Apr-2025,5993653,5655350,338303
75,504917,175,175-22-000001</a>POTHOLES FILLING IN ASPHALT AND CC ROADS IN WARD NO. 175 BOMMANAHALLI.,024119 KUSHAL P REDDY[phone removed],BR - 000204 / 08-Mar-2022CBR - / Rtgs - 001459 / 03-Apr-2025,1740659,1646389,94270
76,695370,51,051-20-000047</a>Construction of Additional Class rooms to Ambedkar nagara and Lakshmanamurthy nagara Kannada School builiding in Vijanapura Ward No 51,P N R CONSTRUCTIONS[phone removed],BR - 000106 / 04-Dec-2024CBR - / Rtgs - 001520 / 03-Apr-2025,1067377,1007899,59478
77,486709,82,082-20-000057</a>Repairs to SSM Drains at KHB colony in Garudacharpalya ward no 82,MALLAPPA M[phone removed],BR - 000226 / 20-Dec-2021CBR - / Rtgs - 001521 / 03-Apr-2025,4890916,4145380,745536
78,599173,83,"083-23-000001</a>Providing Consultancy Services for Preparation of Detailed Project Report and Preparation of Estimation, Drawing and BOQ for the work of Restoration and Re - construction of Deteriorated Road due to BWSSB water supply ,UGD works coming under 110 villages in Kadugudi ward no.83 and Hagaduru ward no.84 in Mahadevapura Assembly Constituency (Package.09) GO Sl no.36, 37, 38, 39, 55, 56, 57, 58 (8 works) (Package Est.Cost.1461.00 Lakhs)",SAPIENCE CONSULTANTS[phone removed],BR - 000090 / 28-Aug-2023CBR - / Rtgs - 001522 / 03-Apr-2025,1450000,1232000,218000
79,599163,149,"149-23-000001</a>Providing Consultancy Services for Preparation of Detailed Project Report and Preparation of Estimation, Drawing and BOQ for the work of Restoration and Re - construction of Deteriorated Road due to BWSSB water supply ,UGD works coming under 110 villages in Varthur Ward no.149 and 150 in Mahadevapura Assembly Constituency (Package.06) GO Sl no.26, 27, 28, 29, 30 (5 works) (Package Est.Cost.1200.00 in Lakhs)",SAPIENCE CONSULTANTS[phone removed],BR - 000092 / 28-Aug-2023CBR - / Rtgs - 001523 / 03-Apr-2025,1190000,1011500,178500
80,599142,150,"150-23-000002</a>Providing Consultancy Services for Preparation of Detailed Project Report and Preparation of Estimation, Drawing and BOQ for the work of Restoration and Re - construction of Deteriorated Road due to BWSSB water supply ,UGD works coming under 110 villages in Varthur Ward no.149 and 150 in Mahadevapura Assembly Constituency (Package.10) GO Sl no.42, 43, 44, 45, 46 (5 works) (Package Est.Cost.1014.00 Lakhs)",SAPIENCE CONSULTANTS[phone removed],BR - 000094 / 28-Aug-2023CBR - / Rtgs - 001524 / 03-Apr-2025,1005000,854000,151000
81,599145,54,"054-23-000001</a>Providing Consultancy Services for Preparation of Detailed Project Report and Preparation of Estimation, Drawing and BOQ for the work of Restoration and Re - construction of Deteriorated Road due to BWSSB water supply ,UGD works coming under 110 villages in Hoodi ward no.54 and Doddanekundui Ward no.85 in Mahadevapura Assembly Constituency (Package.08) GO Sl no.34, 35, 40 (3 works) (Package Est.Cost.1067.00 Lakhs)",SAPIENCE CONSULTANTS[phone removed],BR - 000093 / 28-Aug-2023CBR - / Rtgs - 001525 / 03-Apr-2025,1055000,896500,158500
82,695489,51,051-20-000048</a>Construction of Anganawadi building at Lakshmanamurthynagara in Vijinapura Ward No 51,P N R CONSTRUCTIONS[phone removed],BR - 000105 / 04-Dec-2024CBR - / Rtgs - 001526 / 03-Apr-2025,2536707,2371694,165013
83,471705,111,111-20-000041</a>Development of Roads and Drains to Ashoknagara in Ward No. 111 Shanthalanagara,VIJAY KUMAR S[phone removed],BR - 000076 / 09-Nov-2021CBR - / Rtgs - 002210 / 03-Apr-2025,7921870,7501190,420680
84,237490,87,087-16-000024</a>Providing chain link fencing and children play equipment at Reddy Palya and Ambedkar Park in Ward no 87,KRIDL BHUSIRI ACCOU[phone removed],BR - 000001 / 16-Mar-2019CBR - / Rtgs - 001527 / 04-Apr-2025,2617093,2331792,285301
85,638397,88,"088-23-000003</a>Comprehensive Development of Roads, Drains, Footpaths and Buildings in C.V. Raman Nagar, Assembly Constituency ward No. 80, 88 & 113 (Package-3)",STAR INFRATECH[phone removed],BR - 000147 / 08-Feb-2024CBR - / Rtgs - 002211 / 04-Apr-2025,83279774,60851135,22428639
86,495027,20,020-21-000002</a>Improvements to culverts rain water harvesting drain improvement works in HMT layout Papanna layout 5th main road and surrounding areas in ward no 20 Ganganagara,SANTHOSH KUMAR N[phone removed],BR - 000113 / 21-Jan-2022CBR - / Rtgs - 002212 / 04-Apr-2025,9964609,9489807,474802
87,479247,19,019-20-000035</a>Improvements to Roads and drains at Sanjayanagar and Surrounding areas in ward No 19 Sanjayanagar,Mr N SUDHAKAR REDD[phone removed],BR - 000097 / 25-Nov-2021CBR - / Rtgs - 002213 / 04-Apr-2025,5165571,4916144,249427
88,479254,19,019-20-000036</a>Improvements to Roads and Drains at UAS Layout and Vinayaka Layout and Surrounding aeas in Ward No 19 Sanjayanagar,Mr N SUDHAKAR REDD[phone removed],BR - 000098 / 25-Nov-2021CBR - / Rtgs - 002214 / 04-Apr-2025,9878106,9407537,470569
89,479697,34,034-20-000021</a>Construction of RCC and Developments of Drains at Gangenahalli and surrounding areas in ward no 34 Gangenahalli,Mr N SUDHAKAR REDD[phone removed],BR - 000099 / 29-Nov-2021CBR - / Rtgs - 002215 / 04-Apr-2025,5740784,5468755,272029
90,502567,116,116-20-000012</a>Improvements Asphalting roads of Bazar Street and L R Nagara Surrounding area in Ward No. 116 Neelasandra,NARESH KUMAR S[phone removed],BR - 000093 / 22-Feb-2022CBR - / Rtgs - 002216 / 04-Apr-2025,7039130,6680330,358800
91,479936,29,029-20-000072</a>Re-filling of Pot holes in Ward No. 29 Kacharakanahalli ..,NANDAKUMAR G M[phone removed],BR - 000102 / 30-Nov-2021CBR - / Rtgs - 002217 / 04-Apr-2025,1786972,1663405,123567
92,494278,29,"029-20-000076</a>Comprehensive development of HRBR Layout, 3rd Block in Ward No. 29 Kacharakanahalli .",NANDAKUMAR G M[phone removed],BR - 000114 / 19-Jan-2022CBR - / Rtgs - 002218 / 04-Apr-2025,5468339,5144118,324221
93,504590,33,"033-21-000010</a>Comprehensive Developments and Improvements to Roads and drains, providing missing covering slabs at R T Nagar 1st Block, P and T Colony and Surrounding areas in Ward no 33 Manorayanapalya",NAGESH[phone removed],BR - 000127 / 10-Mar-2022CBR - / Rtgs - 002219 / 04-Apr-2025,8398159,8009845,388314
94,504586,33,"033-21-000007</a>Comprehensive Developments and Improvements to Roads and drains, providing missing covering slabs at Chunchappa garden Avallappa Block and Surrounding areas in Ward no 33 Manorayanapalya",NAGESH[phone removed],BR - 000128 / 10-Mar-2022CBR - / Rtgs - 002220 / 04-Apr-2025,8398159,8009845,388314
95,496279,29,029-19-000021</a>Improvements to drains and footpath from Empire Hotel Junction to Oil mill road in ward no 29 Kacharakanahalli,NANDAKUMAR G M[phone removed],BR - 000119 / 31-Jan-2022CBR - / Rtgs - 002221 / 04-Apr-2025,1942839,1824599,118240
96,493285,148,"148-20-000005</a>Improvements to drain, roads and Other works in ward no. 148 Ejipuara",NANDISH GOWDA.G.R[phone removed],BR - 000205 / 17-Jan-2022CBR - / Rtgs - 002521 / 04-Apr-2025,9020688,8555094,465594
97,446453,168,168-18-000042</a>Emergency repaires to Parks and Playgrounds in Jayanagar Constituency ,POWER MAC[phone removed],BR - 000063 / 27-Jul-2021CBR - / Rtgs - 002522 / 04-Apr-2025,98474,90498,7976
98,493977,172,172-20-000041</a>Improvements and Additional work to Gunduthopu Samudaya Bhavana in ward No 172 Madiwala,M VENKATARAMAPPA [phone removed],BR - 000209 / 18-Jan-2022CBR - / Rtgs - 002523 / 04-Apr-2025,9043564,8671872,371692
99,493993,172,172-20-000050</a>Improvements works to Samudaya bahavana Near Karimariyamma Temple at Gunduthopu in ward No 172 Madiwla,M VENKATARAMAPPA [phone removed],BR - 000208 / 18-Jan-2022CBR - / Rtgs - 002524 / 04-Apr-2025,1486458,1423209,63249
