Textbox24,Textbox28
State: Karnataka     District : Chickballapur           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 3   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN3001,2019 - 2020,ROAD,MRL02-Madakavaripalli to Billur                 ,Upgarde,"Bandakindapalli [ 87522], Billur [ 164505], Devaravanka [ 1340231], G Maddepalli [ 332170], Gorvandalapalli [ 375656], Gujjevandalapalli [ 382151], Guttapalya [ 389034], Jeekevandalapalli [ 1340248], KothurJHC [ 586184], Madakvaripalli [ 636484], Mittavandalapalli [ 706013], Sakkuvandalapalli [ 939823], Thattanagaripalli [ 1047716], Thimmampalli [ 1050282], Vangyaralapalli [ 1087510]",Madakavaripalli to Billur                 ,,578.20,234.73,10.171,0.000,10.171,600.18,Maintenance,Regular PMGSY,BNN Constructions Pvt Ltd [01 Jul 2020],59.44,Financial: 04-12-2021/ Physical: 12-07-2021,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN3002,2019 - 2020,ROAD,T01-Pathapalya to Pollanayakanahalli Via Kamsanapalli peddanagurlu,Upgarde,"Bukkanapalli [ 185031], Digavamarappagarapalli [ 300548], Dugginaikanapalli [ 313810], Dugginayakanapalli [ 313812], Gudipalli [ 380929], Gujjepalli [ 382149], Gummalapalli [ 384193], Gundanavapalli [ 384853], Kamasanapalli [ 496340], Kolaparalapalli [ 573172], Nallasanipalli [ 754227], Pathapalya [ 836437], Peddanagarlu [ 843731], Polinaikanapalli [ 860321], Poolakundlapalli [ 861578], Sakanappagaripalli [ 938918], Shridaravandlapalli [ 986354], Singappagaripalli [ 994583], Venkatapura [ 1094803], Yagnamarappagarapalli [ 1108754], Yelagalapalli [ 1108926]",Pathapalya to Pollanayakanahalli Via Kamsanapalli peddanagurlu,,880.85,357.27,15.272,0.000,13.770,786.68,Maintenance,Regular PMGSY,K.N Channakeshava [01 Jul 2020],85.72,Financial: 08-02-2024/ Physical: 16-08-2023,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Chickballapur ,DPIU Of Chikkaballapur,Chickballapur,KN3015,2019 - 2020,ROAD,MRL06-NH-234 To Bannikuppe Via Mannarapura Ajjavara,Upgarde,"Agalagurki [ 14443], Ajjavara [ 20278], Bannikuppe [ 94133], Chikkakirugumbi [ 222221], Chilumenahalli [ 223703], Doddakirugumbi [ 305490], Jathvara [ 457185], Keshvara [ 535726], Mannarapura [ 676369], Nelamakalahalli [ 777236], Nugathihalli [ 791976], Sonnapura [ 1006938], Thippenahalli [ 1050972], Yalehalli [ 1109008]",NH-234 To Bannikuppe Via Mannarapura Ajjavara,,397.48,161.10,6.637,0.000,6.636,386.20,Maintenance,Regular PMGSY,B.N. Devaraj [01 Jul 2020],36.38,Financial: 28-09-2022/ Physical: 09-01-2022,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Chickballapur ,DPIU Of Chikkaballapur,Chickballapur,KN3016,2019 - 2020,ROAD,"MRL08-Gundlagurki Cross To Dibbur Via Akkalathimmanahalli, Devastanahosahalli, Soppahalli, Puradagadde",Upgarde,"Devasthanahosahally [ 263907], Dibbur [ 300125], Gandlahally [ 341353], Gundlagurki [ 385239], Hunegal [ 428658], Inminchenahally [ 434129], Kachur [ 477519], Kamasettihally [ 496351], Lingasettipura [ 627312], Manchanabele [ 667509], Marasanahalli [ 679645], Puradagadde [ 872096], Puttathimmanahalli [ 882501], Rayappanahalli [ 918418], Soppahalli [ 1007882]","Gundlagurki Cross To Dibbur Via Akkalathimmanahalli, Devastanahosahalli, Soppahalli, Puradagadde",,500.54,203.28,9.552,0.000,9.550,481.86,Maintenance,Regular PMGSY,SRI HARI CONSTRUCTIONS [01 Oct 2020],52.77,Financial: 24-03-2023/ Physical: 30-01-2023,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Chickballapur ,DPIU Of Chikkaballapur,Chickballapur,KN3017,2019 - 2020,ROAD,MRL04-NH-7 To Kethenahalli MDR Via Kalukunte Ittapanahalli And Mogalaguppe Gollahalli,Upgarde,"Beraganahally [ 125949], Chambahally [ 198549], Gollahally [ 368718], Gongadipura [ 370535], Ittappanahally [ 437255], Kallukunte [ 491959], Kariganapalya [ 513729], Marappanahalli [ 679549], Mogalakuppe [ 708191], Nallaguttapalya [ 753918], Payuru [ 1355352], Yalagere [ 1108936]",NH-7 To Kethenahalli MDR Via Kalukunte Ittapanahalli And Mogalaguppe Gollahalli,,400.35,162.35,6.876,0.000,6.875,392.43,Maintenance,Regular PMGSY,B.N. Devaraj [01 Jul 2020],38.26,Financial: 28-09-2022/ Physical: 09-01-2022,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Chickballapur ,DPIU Of Chikkaballapur,Chickballapur,KN3006,2019 - 2020,ROAD,MRL10-NH-234 To Kandakkanahalli Via Yennur Kadirenahalli,Upgarde,"Gandlahosahally [ 341356], Giddnahalli [ 353025], Jathvarahosahally [ 457188], Kandakanahally [ 500823], Nanjapura [ 758538], Ramachandrahosur [ 898923], Yannur Kadirenahalli [ 1109378]",NH-234 To Kandakkanahalli Via Yennur Kadirenahalli,,341.96,138.61,5.782,0.000,5.780,318.26,Maintenance,Regular PMGSY,SRI HARI CONSTRUCTIONS [01 Oct 2020],31.33,Financial: -/ Physical: 08-10-2021,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Chickballapur ,DPIU Of Chikkaballapur,Chinthamani,KN3009,2019 - 2020,ROAD,MRL14-Kachihalli to Vishwanathapura via Chikkapura Anur,Upgarde,"Anakal [ 35890], Anoor [ 41101], Chikkapura [ 222540], Doddapura [ 305653], Hadigere [ 391220], Kachihalli [ 1340502], Krishnammanahoshalli [ 589960], Mooddalachintapalli [ 714272], Panasachowdebahalli [ 814322], Viswanathapura [ 1099409]",Kachihalli to Vishwanathapura via Chikkapura Anur,,442.71,179.75,8.500,0.000,8.400,391.10,Maintenance,Regular PMGSY,K V Sathyanararayana Reddy [01 Jul 2020],45.95,Financial: 29-09-2021/ Physical: 01-06-2021,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Chickballapur ,DPIU Of Chikkaballapur,Chinthamani,KN3010,2019 - 2020,ROAD,MRL06-MDR Near Borgamakalahalli To Mylapura Via Bommekallu,Upgarde,"Akkimangala [ 22260], Bommekallu [ 174281], Doddakondrahalli [ 305501], Mylapura [ 735876]",MDR Near Borgamakalahalli To Mylapura Via Bommekallu,,292.50,118.87,5.500,0.000,5.500,258.60,Maintenance,Regular PMGSY,K V Sathyanararayana Reddy [01 Jul 2020],29.63,Financial: 29-09-2021/ Physical: 01-06-2021,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Chickballapur ,DPIU Of Chikkaballapur,Chinthamani,KN3011,2019 - 2020,ROAD,MRL13-Chinnasandra To BC Road Via Nayindrahalli Colony,Upgarde,"Gunnelli [ 386044], Hirekattigenahalli [ 423544], Konganahalli [ 578095], Madarakallu [ 637414], Narayanahalli [ 760938], Nayindrahalli [ 774969], Nayindrahalli coloney [ 774971], Srirampura [ 1011031]",Chinnasandra To BC Road Via Nayindrahalli Colony,,768.09,311.91,14.540,0.000,14.540,722.17,Maintenance,Regular PMGSY,G Chandre Gowda [01 Jul 2020],82.34,Financial: 28-03-2022/ Physical: 18-12-2021,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Chickballapur ,DPIU Of Chikkaballapur,Gowribidanur,KN3003,2019 - 2020,ROAD,"MRL02-Alkapura gate To SH-94 Via Alkapura, Doddahanumenahalli, Bhumenahalli",Upgarde,"Allakapura [ 26316], bajjeranganahalli [ 75657], Bhumanahalli [ 157235], Burujanakunte [ 186769], C Hanumenahalli [ 188024], C Regaddahalli [ 188130], Charakamittenahalli [ 206757], D Reggadahalli [ 237893], Doddahanumenahalli [ 305412], Hussainpura doddahanumenahalli [ 429482], Nandiganahalli [ 756822], Rayarekalahalli [ 918468]","Alkapura gate To SH-94 Via Alkapura, Doddahanumenahalli, Bhumenahalli",,215.01,87.39,4.207,0.000,4.205,221.00,Maintenance,Regular PMGSY,S ANNAPOORNA [26 Jun 2020],24.58,Financial: 23-01-2025/ Physical: 11-01-2023,Total,"8,558.12","3,474.86",157.790,0.000,155.083,"8,693.57",884.06
