Textbox24,Textbox28
State: Karnataka     District : Kolar           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 1   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Kolar ,DPIU Of Kolar,Bangarpet,KN1901,2000 - 2001,ROAD,Muduguli-Boyanahalli to KGF road,Upgarde,"Boyanahalli [ 179581], Mudugali [ 720968]",KV Road to Mulbagal Taluk Border via Taliapalli,,20.25,0.00,2.500,0.000,2.500,20.20,Completed,Regular PMGSY,Karnataka Land Army Corporation [26 Nov 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Kolar ,DPIU Of Kolar,Bangarpet,KN1901,2000 - 2001,ROAD,KGF-Kamasamudram road to Doddabommapalli,Upgarde,"Bodagarki [ 171451], Doddapanandahalli [ 305643], Kammasandra [ 497904]",KV Road to Mulbagal Taluk Border via Taliapalli,,24.94,0.00,3.500,0.000,3.500,25.19,Completed,Regular PMGSY,Karnataka Land Army Corporation [26 Nov 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Kolar ,DPIU Of Kolar,Bangarpet,KN1903,2000 - 2001,ROAD,V.Kota-Kuppam K.V.Road via Pantanahalli Jeedamkalahalli,Upgarde,"Jeedamakanahalli [ 459648], Panthanahalli [ 820890]",KV Road to Mulbagal Taluk Border via Taliapalli,,21.17,0.00,4.000,0.000,4.000,20.68,Completed,Regular PMGSY,Ramky Engineers Pvt Ltd [31 Aug 2001],0.00,Financial: 15-07-2007/ Physical: 31-12-2003,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Kolar ,DPIU Of Kolar,Bangarpet,KN1904,2001 - 2002,ROAD,Bangarpet-Kolar Road to Harati Road,Upgarde,"Byranayakanahalli [ 187836], Hudukula [ 427571], Nayakarahalli [ 773999], Vatrakunte [ 1090280]",KV Road to Mulbagal Taluk Border via Taliapalli,,86.91,0.00,3.030,0.000,3.030,31.82,Completed,Regular PMGSY,V  Krishna Reddy [23 Oct 2002],0.00,Financial: 31-03-2006/ Physical: 31-03-2006,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Kolar ,DPIU Of Kolar,Bangarpet,KN1904,2001 - 2002,ROAD,Kamasamudra to Doddayalache mande,Upgarde,Kamasamudram [ 496335],KV Road to Mulbagal Taluk Border via Taliapalli,,28.24,0.00,2.060,0.000,2.060,26.81,Maintenance,Regular PMGSY,V  Krishna Reddy [23 Oct 2002],0.00,Financial: 31-03-2006/ Physical: 31-03-2006,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Kolar ,DPIU Of Kolar,Bangarpet,KN1904,2001 - 2002,ROAD,K.V Road to Kallikuppa ,Upgarde,"Iyyapalli [ 437553], Kallikuppa [ 491606], Nallur [ 754471], Natha [ 765334]",KV Road to Mulbagal Taluk Border via Taliapalli,,29.32,0.00,3.600,0.000,3.600,28.87,Maintenance,Regular PMGSY,V  Krishna Reddy [23 Oct 2002],0.00,Financial: 31-03-2006/ Physical: 31-03-2006,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Kolar ,DPIU Of Kolar,Bangarpet,KN1905,2001 - 2002,ROAD,K.V Road to Musturu,Upgarde,"Mustoor [ 734142], Vengasandra [ 1094334]",KV Road to Mulbagal Taluk Border via Taliapalli,,40.34,0.00,4.200,0.000,4.200,42.32,Completed,Regular PMGSY,V NARAYANASWAMY [23 Oct 2002],0.00,Financial: 26-03-2006/ Physical: 31-01-2007,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Kolar ,DPIU Of Kolar,Bangarpet,KN1905,2001 - 2002,ROAD,Ramakuppa Road to Nandyala Gadda,Upgarde,Peelavara [ 844230],KV Road to Mulbagal Taluk Border via Taliapalli,,31.86,0.00,3.650,0.000,3.650,32.30,Maintenance,Regular PMGSY,V NARAYANASWAMY [23 Oct 2002],0.00,Financial: 30-03-2006/ Physical: 31-01-2007,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Kolar ,DPIU Of Kolar,Bangarpet,KN1911,2003 - 2004,ROAD,Bangarpet Budikote,Upgarde,Debbanahalli [ 256543],kamasamudra ; thoppahalli road to kesamandevia Rathanahalli,"Keeramande [ 530816]  { 585} , Rathenahalli [ 915484]  { 249} ",29.90,0.00,3.000,0.000,3.000,30.54,Completed,Regular PMGSY,V  Krishna Reddy [11 Mar 2004],2.27,Financial: 31-05-2006/ Physical: 31-05-2006,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Kolar ,DPIU Of Kolar,Bangarpet,KN1912,2003 - 2004,ROAD,Banarpet Harati Road,Upgarde,Karimanahalli [ 514014],kamasamudra to vottigal,Vattigal [ 1090402]  { 606} ,38.85,0.00,4.000,0.000,4.000,41.08,Completed,Regular PMGSY,V NARAYANASWAMY [11 Mar 2004],2.75,Financial: 27-10-2010/ Physical: 31-07-2008,Total,"11,790.51",0.00,614.290,0.000,614.530,"12,574.87",819.54
