Textbox24,Textbox28
State: Karnataka     District : Tumkur           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 3   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25125,2019 - 2020,ROAD,"MRL12-NH150 to SH47 Via Huliyar Amanikere, Y S Playa, Baradele Palya And Thammadihalli ",Upgarde,"Baradele Palya [ 97420], Belikal Gollarahatti [ 124551], Gowdagere [ 379115], Huliyar [ 433072], Huliyar Amanikere [ 428118], HUliyar Durgammanagudi [ 318236], Huliyar High School [ 428119], Huliyar Indiranagar [ 428120], Huliyar Maruthinagar [ 682698], Kamashettipalya [ 496349], Kenkere [ 533378], Keresuragondanahalli [ 534189], Somajjanapalya [ 1003913], Thammadihalli Gollarahatti [ 369459], Thammadihalli Huliyar [ 1044936], Valagerehalli [ 1085507], Yakubrasaburapalya [ 1108876], Yalanadu Palya [ 1357447]","NH150 to SH47 Via Huliyar Amanikere, Y S Playa, Baradele Palya And Thammadihalli ",,228.46,95.57,3.230,0.000,2.908,129.86,Maintenance,Regular PMGSY,"C.R.Harish [19 Jun 2020], C.R.Harish [19 Jun 2020]",19.02,Financial: 27-03-2025/ Physical: 19-06-2024,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25126,2019 - 2020,ROAD,"MRL02-Huliyar-Anekatte Road to NH234 Via Thimmalapura, Hosahalli palya and Hosahalli",Upgarde,"Doddabidare [ 305301], Doddabidare Hosa Lambani Tandya [ 305302], Gubehalli [ 379900], Hosahalli [ 426070], Hosahallipalya [ 426156], Kallahalli [ 490943], Keshavapura [ 535382], Nandihalli [ 756886], Nandihalli ADC [ 756893], Nandihalli G Hatti [ 756895], Seegebagi [ 967630], Seegebagi Thotadamane [ 1357238], Thimmalapura [ 1050255], Thoresuragondanahalli [ 1053240]","Huliyar-Anekatte Road to NH234 Via Thimmalapura, Hosahalli palya and Hosahalli",,538.35,224.11,6.880,0.000,6.580,151.93,Maintenance,Regular PMGSY,"C.R.Harish [19 Jun 2020], C.R.Harish [19 Jun 2020]",40.54,Financial: 27-03-2025/ Physical: 20-09-2023,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25126,2019 - 2020,LSB,Construction of LongSpan Bridge to the Road  Huliyar-Anekatte Road to NH234 Via Thimmalapura,Upgarde,,,,95.00,38.00,0.000,53.140,0.000,475.44,Completed,Regular PMGSY,C.R.Harish [19 Jun 2020],0.00,Financial: 29-08-2026/ Physical: 31-03-2021,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25127,2019 - 2020,ROAD,"MRL09-Kuppur to Ankasandra via Machasandra, Abbujihalli, Bevihalli Gate, Bevinahalli",Upgarde,"Ankasandra [ 39895], Ankasandra AKC [ 39898], Ankasandra Kaval [ 39900], Aralikere [ 43617], Bagraguru AKC [ 68752], Baragur [ 686189], Benakanakatte [ 124424], Benakanakatte Gollarahatti [ 369456], Bevinahalli [ 127866], Bevinahalli Gate [ 127879], Bevinahalli Gollarahatti [ 127877], Bevinahalli Hosur [ 127878], Bevinahalli Kodihatti [ 127882], channappanapalya [ 205212], Dashihalli AKC [ 253429], Dasihalli [ 253526], Dibbadahalli [ 300061], Haralakatte [ 398218], K Thammadihalli [ 1357276], Kuppur AKE [ 603010], Kuppuru [ 603016], Kurubarahalli [ 605904], Madapura [ 637272], Madapura Gollarahatti [ 637298], Madapura Lambani Tandya [ 637300], Madihalli [ 638171], Mallenahalli [ 663477], Manchasandra [ 667543], Manchasandra Guddadahatti [ 369273], Thagachigatta [ 1042420], Thagachigatta AKC [ 1042421], Thammadihalli AKC [ 1044938]","Kuppur to Ankasandra via Machasandra, Abbujihalli, Bevihalli Gate, Bevinahalli",,405.64,168.71,6.110,0.000,6.110,255.07,Maintenance,Regular PMGSY,"M/s. Apoorva  Construction Co., [15 Jan 2021]",36.00,Financial: 30-03-2024/ Physical: 20-02-2023,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25127B,2019 - 2020,LSB,Contruction of Longspan Bridge at ch. 6.75 km to the road Thammadihalli to Anksandra Via Abbujihalli,Upgarde,,,,107.00,42.80,0.000,42.000,0.000,281.65,Completed,Regular PMGSY,"M/s. Apoorva  Construction Co., [15 Jan 2021]",0.00,Financial: 28-05-2024/ Physical: 24-08-2022,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25127A,2019 - 2020,LSB,Contruction of Longspan Bridge at ch. 0.74 km to the road Thammadihalli to Anksandra Via Abbujihalli,Upgarde,,,,83.00,33.20,0.000,24.000,0.000,98.15,Completed,Regular PMGSY,"M/s. Apoorva  Construction Co., [15 Jan 2021]",0.00,Financial: 30-03-2024/ Physical: 03-08-2023,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25128,2019 - 2020,ROAD,"T01-Shettikere to NH150A Via Hosapalya , Kallubhavipalya ,Gantiganapalya,  Thippanapalya, Chunganahalli,Masthayyanapalya and Malgondanahallli",Upgarde,"Agasarahalli [ 14999], ajjenahalli [ 20286], Ajjenhahalli [ 20296], Bachihalli [ 59587], Bachihalli AKC [ 59589], Biligere [ 164193], Byateranganahalli [ 187666], Chunganahalli [ 236018], Gantiganapalya [ 345756], Gyarehalli [ 389724], Halmurlingadapalya [ 1357236], Halugona [ 394675], Hatna [ 417481], hosapalya [ 426517], Hulikatte Chowdlapura [ 1356907], Jakkanahally [ 444889], Kallabavipalya [ 490849], Kanakapura [ 1349758], Kantalagere [ 506504], Kantalagere AKE [ 506505], Kodalagara [ 568368], Lakmagondanahalli [ 615775], Makuvalli [ 657230], Makuvalli Gollarahatti [ 696772], Makuvalli palya [ 657231], Malagondanahalli [ 657664], Malagondanahalli AKC [ 657665], Masthayanapalya [ 684246], Nagenahalli [ 743369], Nayakerepalya [ 774027], Pankajanahalli [ 820080], Sasalu Godagallu [ 961646], Sasalu Gollrahatti [ 961645], Settikere [ 973780], Settikere AKC [ 973779], Settikere Thotaamane [ 973781], Siddaramanagar [ 988544], Somalapurra [ 1003952], Thigalanahalli [ 1049929], Yogamadavanagara [ 1357237]","Shettikere to NH150A Via Hosapalya , Kallubhavipalya ,Gantiganapalya,  Thippanapalya, Chunganahalli,Masthayyanapalya and Malgondanahallli",,955.70,398.29,12.636,0.000,12.434,902.59,Maintenance,Regular PMGSY,M/s Ganapathi Stone Crusher  [14 Aug 2020],73.87,Financial: 30-03-2024/ Physical: 11-07-2022,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN25170,2022 - 2023,ROAD,"MRL07-Chikkanayakanahalli - Mattighatta -kannkatte Road to Chikkanayakanahalli Via Savashettihalli , Maligehalli and Bylakere",Upgarde,"Aladakatte [ 1352159], Aladakatte Gollarahatti [ 369385], Byalakere [ 187555], Chikkenahalli [ 222444], Maligehalli [ 1356660], Marasandra [ 679662], Marasandrapalya [ 679671], Mudenahalli JHC [ 720189], Navile [ 769653], Navilepalya [ 769658], Pinnehalli [ 853417], Savasettihalli [ 965179], Savasettihalli AKC [ 965180], Savigehalli [ 965256]","Chikkanayakanahalli - Mattighatta -kannkatte Road to Chikkanayakanahalli Via Savashettihalli , Maligehalli and Bylakere",,282.64,115.29,3.100,0.000,3.300,398.77,Maintenance,Regular PMGSY,Santhosh K S [28 Mar 2023],17.75,Financial: -/ Physical: 31-03-2024,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Tumkur ,DPIU Of Tumkur,Gubbi,KN25117,2020 - 2021,ROAD,"MRL20-TCB Road( Byadanakatte Gate) to SH-84 (Anthapura) Via Dibbadahatti, Nallur.",Upgarde,"Anthapurapalya [ 1370902], Arivasandra Palya [ 1371442], Byadanakatte [ 187446], ByadanakatteHolleHoor [ 187448], Dibbadahatti [ 1371275], Gollarahatti [ 369393], Hucha Rangappanahatti [ 427347], Kulumegudulu [ 1371278], Lingapura [ 1357765], Nallur [ 754464], Seegomelegollarahatti [ 967680], Thimmananapalya [ 1371144], Thirumala Devarahatti [ 1371145]","TCB Road( Byadanakatte Gate) to SH-84 (Anthapura) Via Dibbadahatti, Nallur.",,190.19,78.48,3.370,0.000,3.707,181.06,Maintenance,Regular PMGSY,"T L Ashok [25 Jun 2021], T L Ashok [25 Jun 2021]",19.29,Financial: 28-05-2024/ Physical: 04-05-2022,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Tumkur ,DPIU Of Tumkur,Gubbi,KN25163,2020 - 2021,ROAD,"MRL13-Hosakere-Huildore Road to TCB Road Via Pinnenahalli, Madenahalli, Sanganahallli.",Upgarde,"Arehalli [ 44996], Arehalli AKC [ 45009], Erappanahatti [ 1370873], Jogihalli [ 468821], Kacehenahalli JHC [ 476128], Kachenahalli [ 476662], Kempanahalli [ 532342], Lambani Thanda [ 619700], Madenahalli [ 638391], Palya [ 813256], Pinnenahalli [ 853419], Pinnenahalli AKC [ 853420], Sanganahalli [ 948947], Seeganahalli [ 967611], Yaladasanahatti [ 1371433]","Hosakere-Huildore Road to TCB Road Via Pinnenahalli, Madenahalli, Sanganahallli.",,384.65,158.66,5.940,0.000,5.946,330.56,Maintenance,Regular PMGSY,T L Ashok [25 Jun 2021],33.99,Financial: 06-01-2023/ Physical: 30-10-2021,Total,"19,041.82","7,778.24",300.526,152.540,294.636,"18,065.91","1,711.46"
