Textbox24,Textbox28
State: Karnataka     District : Tumkur           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 1   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2501,2000 - 2001,ROAD,Somanahalli road to aHoisalakatte Dasudi road,Upgarde,"Dasudi [ 253953], Ganadalu [ 339932], hosahatti [ 426174], Katamadevarahatti [ 522093], Rangakere [ 909207], Rangaparadahatti [ 909616], Soamanahalli [ 1004015], Somanahalli Palya [ 1004022]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",29.62,0.00,4.600,0.000,4.600,29.81,Completed,Regular PMGSY,Karnataka Land Army Corporation [26 Nov 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2501,2000 - 2001,ROAD,CN halli Hagalavadi road to Chikkaramapura,Upgarde,"Barasidlahalli [ 99931], Cement Colony [ 188565], Chikkarampura [ 222556], Doddarampura [ 305661], Janehar [ 452524], Kondali Cross [ 576950], Singadahalli [ 994314], Therthapura [ 1049655]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",27.61,0.00,3.750,0.000,3.750,28.07,Completed,Regular PMGSY,Karnataka Land Army Corporation [26 Nov 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2507,2001 - 2002,ROAD,K.H.Y.Road to Belagili,Upgarde,"Alegollarahatti [ 24912], Avalagere [ 53705], Belaguli [ 121085], Belaguli Hale Gollarahatti [ 393675], Bellara Hosahatti [ 425855], Devarahalli [ 263471], Papanakona [ 821465]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",17.02,0.00,2.500,0.000,2.500,7.88,Maintenance,Regular PMGSY,M s Karnataka crushers [16 Oct 2002],0.00,Financial: 01-04-2005/ Physical: 30-04-2004,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2507,2001 - 2002,ROAD,Kuppur to Thammadihally,Upgarde,"Benakanakatte [ 124424], Channappanapalya [ 205213], Dasihalli [ 253526], Manchasandra [ 667543], Thammadihalli AKC [ 1044938]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",28.04,0.00,4.000,0.000,4.000,34.79,Maintenance,Regular PMGSY,M s Karnataka crushers [16 Oct 2002],0.00,Financial: 01-04-2005/ Physical: 30-04-2004,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2507,2001 - 2002,ROAD,Chikkabidare to Sangenahally,Upgarde,"Agrahara [ 15556], Barakanahalu [ 98873], Byrapura [ 187874], Handiganadu [ 395731], Kamalapura Vaddarahatti [ 38553], Kodihalli [ 569174], Sangenahalli [ 949254], Shidlakatte [ 78053], Vaddanakallahalli [ 1082959]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",22.66,0.00,3.500,0.000,3.500,23.46,Maintenance,Regular PMGSY,M s Karnataka crushers [16 Oct 2002],0.00,Financial: 01-04-2005/ Physical: 31-05-2004,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2507,2001 - 2002,ROAD,Handanakere to Kengalapura,Upgarde,"Bhimanaikanathanda [ 150795], Kengalapura [ 533262]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",34.21,0.00,6.070,0.000,6.070,48.25,Completed,Regular PMGSY,M s Karnataka crushers [16 Oct 2002],0.00,Financial: 01-04-2005/ Physical: 31-05-2004,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2509,2001 - 2002,ROAD,Sheshappanahally to Dasudi,Upgarde,"Badihatti [ 63501], Bullenahalli [ 185309], Chitradevarahatti [ 229696]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",18.60,0.00,3.000,0.000,3.000,18.92,Completed,Regular PMGSY,Karnataka Land Army Corporation [07 Jul 2002],0.00,Financial: 01-04-2005/ Physical: 31-08-2004,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2513,2003 - 2004,ROAD,H.M.Road to Seegabagi,Upgarde,Seegebagi [ 967630],SH-58 to Huliyar Anekatte road via Hosahalli Palya,Singapura [ 994619]  { 1015} ,12.80,0.00,1.300,0.000,1.300,12.99,Completed,Regular PMGSY,Shivananda [13 Sep 2004],1.58,Financial: 31-03-2007/ Physical: 31-12-2005,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2513,2003 - 2004,ROAD,Gollarahatty to Keresooragondanahally,Upgarde,"Gollarahatti [ 369386], Keresuragondanahalli [ 534189], Thammadihalli Huliyar [ 1044936]",Kallenahalli to Dasudi via Marenadu,"Dabbegunte [ 238398]  { 1494} , Maranadu LT [ 679347]  { 57} , yelegollarahatti [ 1110239]  { 249} ",20.65,0.00,2.500,0.000,2.500,22.24,Completed,Regular PMGSY,Shivananda [13 Sep 2004],1.58,Financial: 31-03-2007/ Physical: 31-12-2005,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Tumkur ,DPIU Of Tumkur,C.N.Halli,KN2514,2003 - 2004,ROAD,Ankasandra to Muddenahally,Upgarde,"Bangaragere [ 90485], Muddenahalli [ 720104]",Ankasandra to K H Y road,Thimmalapura [ 1050255]  { 3061} ,46.30,0.00,5.000,0.000,5.000,32.94,Completed,Regular PMGSY,JayaPrakash [13 Sep 2004],2.69,Financial: 31-03-2007/ Physical: 31-12-2005,Total,"17,969.27",0.00,964.530,0.000,964.680,"20,555.57","1,207.92"
