Textbox24,Textbox28
State: Karnataka     District : Chickballapur           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 2   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,1,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN19135,2013 - 2014,ROAD,MRL1-Gudipalli to Pathapalya,Upgarde,"Gudipalli [ 380930], Gujjepalli [ 382150], Kothur [ 586157], Sakanappagaripalli [ 938919]",Gudipalli to Pathapalya,,167.20,43.05,4.470,0.000,4.470,167.36,Maintenance,Regular PMGSY,K V Sathyanararayana Reddy [04 Mar 2014],13.08,Financial: 03-03-2016/ Physical: 05-03-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,2,Chickballapur ,DPIU Of Chikkaballapur,Chickballapur,KN19136,2013 - 2014,ROAD,"MRL1-Kasavaguttahalli to NH Peresandra via Bhovinahalli, Thummakunte, Hoovinahalli",Upgarde,"Bovanahally [ 179443], Dombaragudisallu [ 308138], Hoovinavarahally [ 425642], Kasavaguttahalli [ 519275], Thumakunte [ 1054430]","Kasavaguttahalli to NH Peresandra via Bhovinahalli, Thummakunte, Hoovinahalli",,314.12,80.83,8.280,0.000,8.280,321.04,Maintenance,Regular PMGSY,SRI HARI CONSTRUCTIONS [04 Mar 2014],24.22,Financial: 12-08-2016/ Physical: 29-09-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,3,Chickballapur ,DPIU Of Chikkaballapur,Chinthamani,KN19137,2013 - 2014,ROAD,MRL2-Rachapura to Mylandlahalli - T-05,Upgarde,"Bandarlahalli [ 87938], Gajalahalli [ 337170], Hirekattigenahalli [ 423543], Jeedarahalli [ 459649], Kuruburu [ 605955], mylandlahalli [ 735851], Rachapura [ 884186]",Rachapura to Mylandlahalli - T-05,,344.09,88.18,8.580,0.000,8.580,308.71,Maintenance,Regular PMGSY,MGANESH [01 Mar 2014],25.09,Financial: 02-02-2017/ Physical: 31-03-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,4,Chickballapur ,DPIU Of Chikkaballapur,Chinthamani,KN19138,2013 - 2014,ROAD,MRL1-Nagarajahosahalli to Iragampalli T-01,Upgarde,"Gudivabanahalli [ 380993], Ithamakalahalli [ 436993], Nagarajahosahalli [ 742447], Raghuttahalli [ 886528]",Nagarajahosahalli to Iragampalli T-01,,203.39,52.33,5.580,0.000,5.580,174.15,Maintenance,Regular PMGSY,MGANESH [01 Mar 2014],16.32,Financial: 06-02-2017/ Physical: 04-03-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,5,Chickballapur ,DPIU Of Chikkaballapur,Gowribidanur,KN19139,2013 - 2014,ROAD,MRL3-Chikkahosahalli to Thondebavi,Upgarde,"Belthur [ 123752], Chickkahosahalli [ 220982], Dyavasandra [ 320323], Mindenahalli [ 702419], Thapasamakalahalli [ 1046347], Thondebavi [ 1052657]",Chikkahosahalli to Thondebavi,,282.14,72.46,8.250,0.000,8.250,350.68,Maintenance,Regular PMGSY,JAYARAM J S [24 Jul 2014],24.13,Financial: 24-05-2016/ Physical: 30-03-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,6,Chickballapur ,DPIU Of Chikkaballapur,Gowribidanur,KN19140,2013 - 2014,ROAD,MRL4-Machenahalli to Hossur,Upgarde,"Machenahalli [ 635440], Maratepalya [ 679715], Narasingayanapalya [ 760478], Sonnagenahalli [ 1006919]",Machenahalli to Hossur,,239.38,61.35,6.360,0.000,6.360,219.46,Maintenance,Regular PMGSY,JAYARAM J S [24 Jul 2014],18.60,Financial: 24-05-2016/ Physical: 30-03-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,7,Chickballapur ,DPIU Of Chikkaballapur,Gudibanda,KN19141,2013 - 2014,ROAD,MRL1-Korenahalli to Beechaganahalli,Upgarde,"Chendur [ 213795], Dumakundahalli [ 315165], Gangadarapura [ 342831], Korenahalli [ 580639]",Korenahalli to Beechaganahalli,,253.87,65.35,6.500,0.000,6.500,256.36,Maintenance,Regular PMGSY,K V Sathyanararayana Reddy [04 Mar 2014],19.01,Financial: 03-03-2016/ Physical: 09-03-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,8,Chickballapur ,DPIU Of Chikkaballapur,Sidlaghatta,KN19142,2013 - 2014,ROAD,MRL3 - Belluti to Jangamakote,Upgarde,"Belluti [ 123319], Bhaktharahalli [ 134634], Chokandahalli [ 230895], Hosapete [ 426545], Jangamakote [ 453017], Kakachokandahalli [ 483745], N Hosahalli [ 736218], Yedulatippenahalli [ 1110023]",Belluti to Jangamakote,,391.30,100.73,11.300,0.000,11.300,391.96,Maintenance,Regular PMGSY,B.N. Devaraj [01 Mar 2014],35.67,Financial: 20-12-2016/ Physical: 30-04-2016,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,9,Chickballapur ,DPIU Of Chikkaballapur,Sidlaghatta,KN19143,2013 - 2014,ROAD,MRL1-Keshwara to Melur,Upgarde,"Appegowdanahalli [ 42742], Kambadahalli [ 496636], Melur [ 697968], Taluk Border Keshawara [ 1029721], Taluk Border Nelamakalahalli [ 1029722]",Keshwara to Melur,,234.14,60.33,5.700,0.000,5.700,212.60,Maintenance,Regular PMGSY,B.N. Devaraj [01 Mar 2014],20.99,Financial: 20-12-2016/ Physical: 29-03-2016,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,10,Chickballapur ,DPIU Of Chikkaballapur,Sidlaghatta,KN19144,2013 - 2014,ROAD,MRL2-Kuppenahalli to MDR Thummanahalli,Upgarde,"Hugur [ 427613], Kuppenahalli [ 602945], Thippenahalli [ 1050977]",Kuppenahalli to MDR Thummanahalli,,112.73,29.02,3.400,0.000,3.400,107.86,Maintenance,Regular PMGSY,B.N. Devaraj [01 Mar 2014],9.94,Financial: 20-12-2016/ Physical: 31-03-2015,Total,"2,542.36",653.63,68.420,0.000,68.420,"2,510.19",207.05
