Textbox24,Textbox28
State: Karnataka     District : Chickballapur           Block : All Blocks    Year : All Years            Batch : All Batches            Collaboration : All Collaborations           Status : All Status         Loan Number: Not Available   Scheme : PMGSY 1   Sub Scheme : All,Note : All Costs are in Lakhs and All Lengths are in Kms.

Textbox1,Textbox8,Textbox3,Textbox5,Textbox7,Textbox11,Textbox18,Textbox26,Textbox9,Textbox23,Textbox47,Textbox53,Textbox56,Textbox59,Textbox63,Textbox66,Textbox27,Textbox2,MAST_DISTRICT_NAME,MAST_DISTRICT_NAME1,MAST_BLOCK_NAME,IMS_PACKAGE_ID1,IMS_YEAR,WORK_TYPE,ROAD_NAME,IMS_UPGRADE_CONNECT,HABS,CN_ROAD,CNHABS,SANC_AMT,STATE_SHARE,ROAD_LENGTH1,BRIDGE_LENGTH,LENGTH_COMPLETED1,IMS_PAYMENT_MADE1,PROPOSAL_STATUS1,MAST_FUNDING_AGENCY_NAME,CONT_NAME1,MAINT_AMT,COMPLETION_DATE,Textbox30,Textbox46,Textbox49,Textbox17,Textbox21,LENGTH_COMPLETED,Textbox55,Textbox68
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,11,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1961,2007 - 2008,ROAD,Boovipalli - T-05,Upgarde,"Chinnakayalapalli [ 226094], Gorthipalli [ 375591], Gulur [ 383734], Maddalakane 2 [ 638070]",Bagepalli Gulur Thimampalli Road,"Gulur [ 383734]  { 3865} , Maddalakane 2 [ 638070]  { 642} , Ramasampalli [ 900640]  { 674} ",44.51,0.00,1.710,0.000,1.710,42.41,Completed,Regular PMGSY,G.Mallikarjuna [16 Jun 2008],3.09,Financial: 12-06-2009/ Physical: 31-12-2008,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,12,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1972,2008 - 2009,ROAD,Arigevarigutta - T-01,Upgarde,"Devaramatalapalli [ 263584], Dornalapalli 2 [ 310442], pyayalavaripalli [ 882947], R Nallagutlapalli [ 883266]",P P Road to PBRCP Road via Ramanpadi Venteervandlapalli Kaderannagarakote,"Arigevarigutta [ 45399]  { 112} , Devaramatalapalli [ 263584]  { 249} , R  Nallagutlapalli [ 883266]  { 407} ",200.70,0.00,7.550,0.000,7.550,248.40,Completed,Regular PMGSY,Byrappa [25 Feb 2009],14.46,Financial: 27-04-2011/ Physical: 31-03-2010,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,13,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN1973,2008 - 2009,ROAD,Doddipalli - T-03,Upgarde,"Gollapalli 1 [ 368991], Ivarlapalli [ 437441], Yerrayyagaripalli [ 1111323]",Devaralapalli Cross to Doddipalli,"Doddipalli [ 305851]  { 210} , Kuntlapalli [ 602328]  { 366} ",47.00,0.00,1.740,0.000,1.740,57.13,Completed,Regular PMGSY,M.Venkatesh [28 Feb 2009],3.33,Financial: 22-11-2010/ Physical: 28-02-2010,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,14,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN19109,2009 - 2010,ROAD,gummaulapalli - T-03,Upgarde,"Dugginaikanapalli [ 313810], Gummalapalli [ 384193], Kallarollavaripalli [ 491334], Peddanagarlu [ 843731], Polinaikanapalli [ 860321], Yagnamarappagarapalli [ 1108754]",PBRCP Road to Debbaravaripalli and on to A P Border,"Bellalampalli [ 121302]  { 349} , Dabbavaripalli [ 238385]  { 52} ",137.21,0.00,4.940,0.000,4.940,175.19,Completed,Regular PMGSY,Byrappa [23 Sep 2009],10.07,Financial: 05-07-2011/ Physical: 31-03-2011,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,15,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN19110,2009 - 2010,ROAD,krishnapura - T-08,Upgarde,"Kondorupalli [ 577734], Krishnapura 2 [ 590250]",N H 7 TO Krishnapura via Kondareddipalli and Puttaparthy,"Kondareddipalli 1 [ 577303]  { 960} , puttaparthi [ 882487]  { 1043} ",189.46,0.00,7.260,0.000,7.260,208.51,Completed,Regular PMGSY,Byrappa [24 Sep 2009],14.75,Financial: 08-04-2011/ Physical: 31-07-2010,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,16,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN19111,2009 - 2010,ROAD,Kothakote - T-06,Upgarde,"Pesalaparthi [ 847966], Ramanodupalli [ 900152]",G M Road to Pesalaparthy via Chinthamakala Dinne Mamidikayalpalli,,230.23,0.00,9.520,0.000,9.520,266.50,Completed,Regular PMGSY,Byrappa [24 Sep 2009],19.40,Financial: 19-04-2011/ Physical: 28-02-2011,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,17,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN19112,2009 - 2010,ROAD,Narayanapalli - T-01,Upgarde,"Narayanapalli [ 760964], Ramasampalli [ 900640], Rascheruvu [ 912889], Thimmaiahgaripalli [ 1050206]",Rascheruvu to Narayanapalli via Ramsawmpalli,"Narayanapalli [ 760964]  { 745} , Ramaswamypalli [ 900748]  { 292} ",121.23,0.00,4.580,0.000,4.580,148.40,Completed,Regular PMGSY,Byrappa [03 Oct 2009],8.98,Financial: 08-04-2011/ Physical: 30-09-2010,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,18,Chickballapur ,DPIU Of Chikkaballapur,Bagepalli,KN19120,2010 - 2011,ROAD,Gundamvaripalli - T-03,Upgarde,Ramojupalli [ 904220],M C Road to Gundamvaripalli via Ramojupalli,"Gundlapalli 2 [ 385309]  { 249} , Ramojupalli [ 904220]  { 829} ",108.45,0.00,4.910,0.000,4.910,140.39,Completed,Regular PMGSY,K V Sathyanararayana Reddy [08 Aug 2011],10.01,Financial: 06-03-2013/ Physical: 31-12-2012,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,19,Chickballapur ,DPIU Of Chikkaballapur,Chickballapur,KN1901,2000 - 2001,ROAD,K.S.road to Chickkasagarahalli via Angatta and Kuduvathi,New,"Chikkasagarahally [ 222577], Kudavathi [ 592134]",NH7 to Yalagalahalli via Gantiganahudya,Gantiganahudya [ 345754]  { 85} ,21.69,0.00,3.000,0.000,3.000,23.33,Completed,Regular PMGSY,Karnataka Land Army Corporation [26 Nov 2001],0.00,Financial: 01-04-2005/ Physical: 31-03-2003,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
Sr.No.,District Name,Block Name,Package No.,Sanctioned Year,Road Name / Bridge Name,Connectivity (New / Upgrade),Name of Benefited Habitations,Core-Network Road name,Core-Network Habitation name,State Cost,Expenditure Till Date,Stage of Progress,Collaboration,Contractor Name,5 Years Maintenance Cost Due,Completion Date,20,Chickballapur ,DPIU Of Chikkaballapur,Chickballapur,KN1902,2000 - 2001,ROAD,MG road - Kandakanahally,Upgarde,"Giddnahalli [ 353025], Hosahudya [ 426200], Hosur [ 426904], Jathvara [ 457185], Jathvarahosahally [ 457188], Kandakanahally [ 500823], Ramachandrahosur [ 898923], Yannur Kadirenahalli [ 1109378]",NH7 to Yalagalahalli via Gantiganahudya,Gantiganahudya [ 345754]  { 85} ,25.61,0.00,5.000,0.000,5.000,28.19,Completed,Regular PMGSY,B.Bhaskar Naidu [18 Aug 2001],0.00,Financial: 01-04-2005/ Physical: 30-09-2003,Total,"10,400.92",0.00,547.870,0.000,547.870,"12,090.31",668.70
